UID          PID    PPID  C STIME TTY          TIME CMD
root         316       2  0 16:41 ?        00:00:00 [irq/60-vmwgfx]
root         317       2  0 16:41 ?        00:00:00 [irq/61-vmwgfx]
root         319       2  0 16:41 ?        00:00:00 [irq/62-vmwgfx]
root         320       2  0 16:41 ?        00:00:00 [irq/63-vmwgfx]
root         322       2  0 16:41 ?        00:00:00 [irq/64-vmwgfx]
root         323       2  0 16:41 ?        00:00:00 [irq/65-vmwgfx]
root         325       2  0 16:41 ?        00:00:00 [ttm]
root         334       2  0 16:41 ?        00:00:00 [nvme-wq]
root         335       2  0 16:41 ?        00:00:00 [nvme-reset-wq]
root         336       2  0 16:41 ?        00:00:00 [nvme-delete-wq]
root         382       2  0 16:41 ?        00:00:00 [jbd2/nvme0n1p2-8]
root         383       2  0 16:41 ?        00:00:00 [ext4-rsv-conver]
root         440       1  0 16:41 ?        00:00:00 /lib/systemd/systemd-journald
root         458       1  0 16:41 ?        00:00:00 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-vmblock,default_permissions,allow_other,dev,suid
root         461       1  0 16:41 ?        00:00:00 /lib/systemd/systemd-udevd
root         463       2  0 16:41 ?        00:00:00 [psimon]
root         491       2  0 16:41 ?        00:00:00 [psimon]
root         581       1  0 16:41 ?        00:00:00 /usr/sbin/haveged --Foreground --verbose=1
systemd+     605       1  0 16:41 ?        00:00:00 /lib/systemd/systemd-timesyncd
root         639       1  0 16:41 ?        00:00:23 /usr/bin/vmtoolsd
root         724       2  0 16:41 ?        00:00:00 [kworker/0:2H-kblockd]
root         840       2  0 16:41 ?        00:00:00 [rpciod]
root         842       2  0 16:41 ?        00:00:00 [xprtiod]
root         873       2  0 16:41 ?        00:00:00 [psimon]
root         876       1  0 16:41 ?        00:00:00 /usr/sbin/cron -f
message+     878       1  0 16:41 ?        00:00:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
polkitd      883       1  0 16:41 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug
root         886       1  0 16:41 ?        00:00:00 /lib/systemd/systemd-logind
root         924       2  0 16:41 ?        00:00:00 [psimon]
root         931       1  0 16:41 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root         946       1  0 16:41 ?        00:00:00 /usr/sbin/ModemManager
root         956       1  0 16:41 ?        00:00:00 /usr/sbin/lightdm
root         994     956  0 16:41 tty7     00:00:51 /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root         995       1  0 16:41 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear - linux
root        1108       2  0 16:41 ?        00:00:00 [psimon]
rtkit       1138       1  0 16:41 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1211     956  0 16:41 ?        00:00:00 lightdm --session-child 15 26
pmoise      1218       1  0 16:41 ?        00:00:00 /lib/systemd/systemd --user
pmoise      1219    1218  0 16:41 ?        00:00:00 (sd-pam)
root        1233       2  0 16:41 ?        00:00:00 [psimon]
pmoise      1235    1218  0 16:41 ?        00:00:00 /usr/bin/pipewire
pmoise      1236    1218  0 16:41 ?        00:00:00 /usr/bin/pipewire -c filter-chain.conf
pmoise      1237    1218  0 16:41 ?        00:00:00 /usr/bin/wireplumber
pmoise      1238    1218  0 16:41 ?        00:00:00 /usr/bin/pipewire-pulse
pmoise      1240    1218  0 16:41 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
pmoise      1241    1218  0 16:41 ?        00:00:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
pmoise      1266    1211  0 16:41 ?        00:00:00 xfce4-session
pmoise      1312    1266  0 16:41 ?        00:00:00 /usr/bin/ssh-agent x-session-manager
pmoise      1322    1218  0 16:41 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
pmoise      1329    1322  0 16:41 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_0
pmoise      1340    1218  0 16:41 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
pmoise      1353    1218  0 16:41 ?        00:00:00 /usr/bin/gpg-agent --supervised
pmoise      1355    1266  0 16:41 ?        00:00:07 xfwm4 --display :0.0 --sm-client-id 2c77e1cc9-f268-49ed-9bd0-f4958a16959a
pmoise      1359    1218  0 16:41 ?        00:00:00 /usr/libexec/gvfsd
pmoise      1365    1218  0 16:41 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
root        1393       1  0 16:41 ?        00:00:00 /usr/libexec/upowerd
pmoise      1399    1218  0 16:41 ?        00:00:00 /usr/libexec/xdg-permission-store
pmoise      1409    1266  0 16:41 ?        00:00:00 Thunar --sm-client-id 28056d281-4bb3-4576-946c-027d834e527b --daemon
pmoise      1417    1218  0 16:41 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
root        1432       1  0 16:41 ?        00:00:00 /usr/libexec/udisks2/udisksd
pmoise      1474    1218  0 16:41 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
pmoise      1497    1218  0 16:41 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
pmoise      1509    1218  0 16:41 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
pmoise      1521    1218  0 16:41 ?        00:00:01 /usr/libexec/gvfs-afc-volume-monitor
pmoise      1530    1266  0 16:41 ?        00:00:00 xfce4-power-manager --restart --sm-client-id 25b2e7946-9ddf-47ab-84b8-22e222d0db45
pmoise      1531    1218  0 16:41 ?        00:00:00 /usr/libexec/gvfsd-metadata
pmoise      1535    1359  0 16:41 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.20 /org/gtk/gvfs/exec_spaw/0
pmoise      1550       1  0 16:41 ?        00:00:23 /usr/bin/vmtoolsd -n vmusr --blockFd 3
pmoise      1555    1266  0 16:41 ?        00:00:00 nm-applet
pmoise      1561    1266  0 16:41 ?        00:00:00 /usr/bin/python3 /usr/bin/blueman-applet
pmoise      1568    1218  0 16:41 ?        00:00:00 /usr/libexec/dconf-service
pmoise      1584    1266  0 16:41 ?        00:00:00 xiccd
pmoise      1604    1266  0 16:41 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
pmoise      1611       1  0 16:41 ?        00:00:00 xcape -e Super_L Control_L Escape
colord      1627       1  0 16:41 ?        00:00:00 /usr/libexec/colord
pmoise      1637    1266  0 16:41 ?        00:00:00 /usr/libexec/geoclue-2.0/demos/agent
pmoise      1648    1266  0 16:41 ?        00:00:00 light-locker
pmoise      1763    1218  0 16:41 ?        00:00:00 /usr/libexec/bluetooth/obexd
pmoise      2199       1  0 16:42 ?        00:00:00 xfsettingsd
pmoise      2213       1  0 16:42 ?        00:00:01 xfce4-panel
pmoise      2228       1  0 16:42 ?        00:00:03 xfdesktop
pmoise      2232    2213  0 16:42 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libwhiskermenu.so 1 14680071 whiskermenu Whisker Menu Show a menu to easily access installed applications
pmoise      2236    2213  0 16:42 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libsystray.so 14 14680079 systray Status Tray Plugin Provides status notifier items (application indicators) and legacy systray items
pmoise      2237    2213  0 16:42 ?        00:00:44 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libgenmon.so 15 14680080 genmon Generic Monitor Show output of a command.
pmoise      2238    2213  0 16:42 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libpulseaudio-plugin.so 16 14680081 pulseaudio PulseAudio Plugin Adjust the audio volume of the PulseAudio sound system
pmoise      2239    2213  0 16:42 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libnotification-plugin.so 17 14680082 notification-plugin Notification Plugin Notification plugin for the Xfce panel
pmoise      2240    2213  0 16:42 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libxfce4powermanager.so 18 14680083 power-manager-plugin Power Manager Plugin Display the battery levels of your devices and control the brightness of your display
pmoise      2250    2213  0 16:42 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libactions.so 2200 14680084 actions Action Buttons Log out, lock or other system actions
pmoise      2267    1218  0 16:42 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/notifyd/xfce4-notifyd
pmoise      3850       1  0 16:45 ?        00:00:03 /usr/bin/qterminal
pmoise      3853    3850  0 16:45 pts/0    00:00:00 /usr/bin/zsh
pmoise     13945    1218  0 17:05 ?        00:00:00 /usr/libexec/xdg-desktop-portal
pmoise     13950    1218  0 17:05 ?        00:00:00 /usr/libexec/xdg-document-portal
root       13956   13950  0 17:05 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
pmoise     13959    1218  0 17:05 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
root       14889       1  0 17:06 ?        00:00:00 /sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
root       32674       2  0 17:41 ?        00:00:00 [kworker/u8:1-flush-259:0]
root       32675       2  0 17:41 ?        00:00:00 [kworker/1:1-events_power_efficient]
root       35080       2  0 17:46 ?        00:00:00 [kworker/u8:2-events_unbound]
root       52869       2  0 18:22 ?        00:00:00 [kworker/1:0]
root       72089       2  0 19:02 ?        00:00:00 [kworker/2:1-events]
root       74321       2  0 19:07 ?        00:00:00 [kworker/3:1-cgroup_destroy]
root       74410       2  0 19:07 ?        00:00:00 [kworker/0:0-cgroup_destroy]
root       78298       2  0 19:14 ?        00:00:00 [kworker/3:2-events]
root       78676       2  0 19:15 ?        00:00:00 [kworker/0:2-events]
root       81257       2  0 19:19 ?        00:00:00 [kworker/2:2-mm_percpu_wq]
root       83860       2  0 19:25 ?        00:00:00 [kworker/2:0-events]
pmoise     85050    1218  0 19:27 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/xfconf/xfconfd
pmoise     85846    3853  0 19:28 pts/0    00:00:00 ps -ef
